k,Re(c_k),Im(c_k)
-8.890000000000000000e+02,8.730733503788950405e-08,-2.763782539004555332e-07
-8.880000000000000000e+02,5.899362446361622233e-08,-2.663875603586501428e-07
-8.870000000000000000e+02,1.236464111682922728e-06,-2.326243463515492889e-07
-8.860000000000000000e+02,4.361699809275088074e-07,2.341616953875767413e-07
-8.850000000000000000e+02,8.381435557501063231e-07,-3.226153222691095513e-07
-8.840000000000000000e+02,9.688810465403174601e-07,-9.189576321641292078e-07
-8.830000000000000000e+02,-1.715627875684454858e-07,-2.823806200059432502e-07
-8.820000000000000000e+02,1.055470848218557813e-06,-3.187411385790774157e-07
-8.810000000000000000e+02,5.036838066153872867e-07,5.891920381374678671e-07
-8.800000000000000000e+02,7.048465967770405522e-07,1.007189198439434192e-06
-8.790000000000000000e+02,1.069858687037579756e-06,4.350454483164279769e-07
-8.780000000000000000e+02,-3.013611973916840699e-07,-7.140346882527282750e-07
-8.770000000000000000e+02,1.225937595186471434e-06,-1.482717348665451153e-06
-8.760000000000000000e+02,7.123599975759855772e-07,-4.119774961244038709e-07
-8.750000000000000000e+02,1.156805430794803294e-07,2.189147009691480946e-07
-8.740000000000000000e+02,3.786953316036358860e-07,4.635852928347709861e-07
-8.730000000000000000e+02,2.242106694935381054e-07,-2.540259155747615224e-07
-8.720000000000000000e+02,2.191648628601302880e-06,-4.807087993225854625e-07
-8.710000000000000000e+02,6.106705554121954049e-07,3.338472808639673277e-07
-8.700000000000000000e+02,-1.991192549434719821e-07,-1.043730367692069538e-06
-8.690000000000000000e+02,1.013589937014201509e-06,-1.373799947398643986e-06
-8.680000000000000000e+02,5.052209775915830742e-07,4.568512214635444979e-07
-8.670000000000000000e+02,1.137777199016799540e-06,7.465370193987196893e-07
-8.660000000000000000e+02,4.702271189367545652e-07,4.534885669599346098e-07
-8.650000000000000000e+02,2.450176105543452838e-07,4.431682994493697598e-07
-8.640000000000000000e+02,6.266678873537857012e-07,-1.012380717436026380e-06
-8.630000000000000000e+02,3.699673749121421202e-07,-6.739184664574243502e-07
-8.620000000000000000e+02,6.541499146638047093e-07,4.539148135496974449e-07
-8.610000000000000000e+02,6.564496203554279186e-07,-4.836927812586517693e-07
-8.600000000000000000e+02,1.123467353297137008e-06,6.439726810767712543e-07
-8.590000000000000000e+02,5.793624675810597546e-07,-2.823982968481686070e-07
-8.580000000000000000e+02,1.051081276015723720e-06,-1.656020488836945313e-06
-8.570000000000000000e+02,8.738873013889251324e-07,1.903782128894160016e-07
-8.560000000000000000e+02,-8.860944064036562084e-07,-7.107184629481128632e-07
-8.550000000000000000e+02,4.423065618003457224e-07,-5.843122457811569848e-07
-8.540000000000000000e+02,1.294785963955102370e-06,3.216058429789153789e-07
-8.530000000000000000e+02,1.530017790824903486e-06,7.884294919615072065e-07
-8.520000000000000000e+02,1.104068325618693959e-06,1.221758648249606020e-06
